dataset_key,panel_label,method,setting,shot,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
winobias,WinoBias,"DIY Two Pass (No IT), 2-shot",No IT,2,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0795455,0.0795455,0.07954545,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/winobias/winobias/m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
winobias,WinoBias,"DIY Two Pass (IT), 0-shot",IT,0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0896465,0.0896465,0.08964646,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winobias,WinoBias,"DIY Two Pass (IT), 1-shot",IT,1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0707071,0.0707071,0.07070707,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winobias,WinoBias,"DIY Two Pass (IT), 2-shot",IT,2,abs_pro_anti_gap,Abs. pro/anti gap,0,0.094697,0.094697,0.09469697,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winobias,WinoBias,DIY-Teach-Show 0-shot,IT+ICL,0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.260101,0.260101,,,lower,m4_ft_icl,winobias_metrics_overall_m4_fticl_zero_llama8b_all_allversions_winobias,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/evalshared/winobias/m4_fticl_zero_llama8b_all_allversions_winobias/winobias_metrics_overall_m4_fticl_zero_llama8b_all_allversions_winobias.csv
winobias,WinoBias,DIY-Teach-Show 1-shot,IT+ICL,1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.260101,0.260101,,,lower,m4_ft_icl,winobias_metrics_overall_m4_fticl_one_llama8b_all_allversions_winobias,all_strategies,results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/evalshared/winobias/m4_fticl_one_llama8b_all_allversions_winobias/winobias_metrics_overall_m4_fticl_one_llama8b_all_allversions_winobias.csv
winogender,WinoGender,Base Model Inference,Base,,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.191667,0.191667,18.33333333,mean_abs_occupation_gender_bias_score,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/winogender/llama_8b/winogender_metrics_overall_llama_8b.csv
winogender,WinoGender,DIY-Show 0-shot,ICL,0,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,,,lower,m4_base_icl,winogender_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winogender,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_allstrat_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winogender.csv
winogender,WinoGender,DIY-Show 1-shot,ICL,1,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,,,lower,m4_base_icl,winogender_metrics_overall_m4_baseicl_one_llama8b_allstrat_winogender,all_strategies,results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/evalshared/winogender/m4_baseicl_one_llama8b_allstrat_winogender/winogender_metrics_overall_m4_baseicl_one_llama8b_allstrat_winogender.csv
winogender,WinoGender,DIY IT,DIY IT,,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.225,0.225,20.83333333,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_allstrat_winogender,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_allstrat_winogender/winogender_metrics_overall_m3_finetune_allstrat_winogender.csv
winogender,WinoGender,"DIY Two Pass (No IT), 0-shot",No IT,0,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.158333,0.158333,15.0,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/winogender/winogender/m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,"DIY Two Pass (No IT), 1-shot",No IT,1,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.0916667,0.0916667,9.16666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/winogender/winogender/m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,"DIY Two Pass (No IT), 2-shot",No IT,2,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.133333,0.133333,13.33333333,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/winogender/winogender/m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,"DIY Two Pass (IT), 0-shot",IT,0,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.141667,0.141667,14.16666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,"DIY Two Pass (IT), 1-shot",IT,1,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.1,0.1,9.16666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,"DIY Two Pass (IT), 2-shot",IT,2,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.154167,0.154167,12.91666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winogender/winogender/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
winogender,WinoGender,DIY-Teach-Show 0-shot,IT+ICL,0,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.225,0.225,,,lower,m4_ft_icl,winogender_metrics_overall_m4_fticl_zero_llama8b_all_allversions_winogender,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/evalshared/winogender/m4_fticl_zero_llama8b_all_allversions_winogender/winogender_metrics_overall_m4_fticl_zero_llama8b_all_allversions_winogender.csv
winogender,WinoGender,DIY-Teach-Show 1-shot,IT+ICL,1,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.225,0.225,,,lower,m4_ft_icl,winogender_metrics_overall_m4_fticl_one_llama8b_all_allversions_winogender,all_strategies,results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/evalshared/winogender/m4_fticl_one_llama8b_all_allversions_winogender/winogender_metrics_overall_m4_fticl_one_llama8b_all_allversions_winogender.csv
