method,intervention_key,intervention_label,dataset_key,panel_label,metric,metric_label,ideal_value,native_value,normalized_bias_error,base_normalized_bias_error,bias_error_reduction_vs_base,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
DIY IT,perspective_taking,Perspective-taking,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.736,0.736,3.047,2.311,0.736,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_pt:m3_finetune_pt_instr_off_ALL,perspective_taking,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_pt.csv
DIY IT,perspective_taking,Perspective-taking,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.265152,0.265152,0.276515,0.011363,0.26515152,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_pt_winobias,perspective_taking,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_pt_winobias/winobias_metrics_overall_m3_finetune_pt_winobias.csv
DIY IT,perspective_taking,Perspective-taking,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.191667,0.191667,0.191667,0,17.5,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_pt_winogender,perspective_taking,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_pt_winogender/winogender_metrics_overall_m3_finetune_pt_winogender.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,48.41,1.59,15.19,13.6,48.41,metric_score,target50,m6_self_debiasing,m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__perspective_taking/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,stereoset,StereoSet,SS Score,SS Score overall,50,43.8847,6.1153,8.29053,2.17523,47.2777277,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__perspective_taking/stereoset/stereoset_metrics_m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,2.795,2.795,7.39,4.595,0.087,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__perspective_taking/bbq/bbq_metrics.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,-0.087,0.087,3.047,2.96,0.087,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__perspective_taking/bbq/bbq_metrics.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.210859,0.210859,0.276515,0.065656,0.21085859,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__perspective_taking/winobias/winobias/m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking/winobias_metrics_overall_m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (No IT),perspective_taking,Perspective-taking,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.158333,0.158333,0.191667,0.033334,15.83333333,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__perspective_taking/winogender/winogender/m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking/winogender_metrics_overall_m6_two_pass__base__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,50.93,0.93,15.19,14.26,50.93,metric_score,target50,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,stereoset,StereoSet,SS Score,SS Score overall,50,45.4833,4.51667,8.29053,3.77386,52.60291293,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.923,4.923,7.39,2.467,0.38,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/bbq/bbq_metrics.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.38,0.38,3.047,2.667,0.38,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking,perspective_taking,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/bbq/bbq_metrics.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.156566,0.156566,0.276515,0.119949,0.15656566,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/winobias/winobias/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking.csv
DIY Two Pass (IT),perspective_taking,Perspective-taking,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.166667,0.166667,0.191667,0.025,15.0,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking,perspective_taking,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking/winogender/winogender/m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-perspective-taking-opinion-action-event-allversions__perspective_taking_self_debias_two_pass_perspective_taking.csv
ICL,counter_imaging,Counter-stereotypic imaging,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,59.62,9.62,15.19,5.57,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_ci_crowspairs.csv
ICL,counter_imaging,Counter-stereotypic imaging,stereoset,StereoSet,SS Score,SS Score overall,50,55.5385,5.53845,8.29053,2.75208,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_ci_stereoset.csv
ICL,counter_imaging,Counter-stereotypic imaging,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.34,4.34,7.39,3.05,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_ci_bbq.csv
ICL,counter_imaging,Counter-stereotypic imaging,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.723,0.723,3.047,2.324,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_ci_bbq.csv
ICL,counter_imaging,Counter-stereotypic imaging,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,0.276515,-0.001263,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_ci_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_ci_winobias.csv
ICL,counter_imaging,Counter-stereotypic imaging,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ci,counter_imaging,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_ci_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_ci_winogender.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,64.26,14.26,15.19,0.93,64.26,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_ci,counter_imaging,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_ci.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,stereoset,StereoSet,SS Score,SS Score overall,50,57.239,7.23898,8.29053,1.05155,68.55703101,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_ci,counter_imaging,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_ci.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.151,4.151,7.39,3.239,0.66,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_ci:m3_finetune_ci_instr_off_ALL,counter_imaging,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_ci.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.66,0.66,3.047,2.387,0.66,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_ci:m3_finetune_ci_instr_off_ALL,counter_imaging,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_ci.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.272727,0.272727,0.276515,0.003788,0.27272727,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_ci_winobias,counter_imaging,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_ci_winobias/winobias_metrics_overall_m3_finetune_ci_winobias.csv
DIY IT,counter_imaging,Counter-stereotypic imaging,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.195833,0.195833,0.191667,-0.004166,17.91666667,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_ci_winogender,counter_imaging,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_ci_winogender/winogender_metrics_overall_m3_finetune_ci_winogender.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,46.82,3.18,15.19,12.01,46.82,metric_score,target50,m6_self_debiasing,m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__counter_imaging/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,stereoset,StereoSet,SS Score,SS Score overall,50,42.6798,7.32017,8.29053,0.97036,44.80528389,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__counter_imaging/stereoset/stereoset_metrics_m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,2.771,2.771,7.39,4.619,0.087,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__counter_imaging/bbq/bbq_metrics.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.087,0.087,3.047,2.96,0.087,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__counter_imaging/bbq/bbq_metrics.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.159091,0.159091,0.276515,0.117424,0.15909091,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__counter_imaging/winobias/winobias/m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging/winobias_metrics_overall_m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (No IT),counter_imaging,Counter-stereotypic imaging,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.166667,0.166667,0.191667,0.025,16.66666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__counter_imaging/winogender/winogender/m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging/winogender_metrics_overall_m6_two_pass__base__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,49.14,0.86,15.19,14.33,49.14,metric_score,target50,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,stereoset,StereoSet,SS Score,SS Score overall,50,42.7807,7.21934,8.29053,1.07119,45.00807137,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,2.063,2.063,7.39,5.327,0.799,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/bbq/bbq_metrics.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.799,0.799,3.047,2.248,0.799,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging,counter_imaging,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/bbq/bbq_metrics.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.131313,0.131313,0.276515,0.145202,0.13131313,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/winobias/winobias/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging.csv
DIY Two Pass (IT),counter_imaging,Counter-stereotypic imaging,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.141667,0.141667,0.191667,0.05,13.33333333,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging,counter_imaging,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging/winogender/winogender/m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-counter-imaging-opinion-action-event-allversions__counter_imaging_self_debias_two_pass_counter_imaging.csv
ICL,positive_contact,Positive contact,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,59.81,9.81,15.19,5.38,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_pc_crowspairs.csv
ICL,positive_contact,Positive contact,stereoset,StereoSet,SS Score,SS Score overall,50,55.7667,5.76672,8.29053,2.52381,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_pc_stereoset.csv
ICL,positive_contact,Positive contact,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,3.738,3.738,7.39,3.652,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_pc_bbq.csv
ICL,positive_contact,Positive contact,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,1.26,1.26,3.047,1.787,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_pc_bbq.csv
ICL,positive_contact,Positive contact,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,0.276515,-0.001263,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_pc_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_pc_winobias.csv
ICL,positive_contact,Positive contact,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pc,positive_contact,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_pc_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_pc_winogender.csv
DIY IT,positive_contact,Positive contact,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,64.32,14.32,15.19,0.87,64.32,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_pc,positive_contact,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_pc.csv
DIY IT,positive_contact,Positive contact,stereoset,StereoSet,SS Score,SS Score overall,50,56.9075,6.90747,8.29053,1.38306,69.1323942,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_pc,positive_contact,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_pc.csv
DIY IT,positive_contact,Positive contact,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.53,4.53,7.39,2.86,0.658,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_pc:m3_finetune_pc_instr_off_ALL,positive_contact,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_pc.csv
DIY IT,positive_contact,Positive contact,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.658,0.658,3.047,2.389,0.658,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_pc:m3_finetune_pc_instr_off_ALL,positive_contact,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_pc.csv
DIY IT,positive_contact,Positive contact,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.263889,0.263889,0.276515,0.012626,0.26388889,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_pc_winobias,positive_contact,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_pc_winobias/winobias_metrics_overall_m3_finetune_pc_winobias.csv
DIY IT,positive_contact,Positive contact,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.216667,0.216667,0.191667,-0.025,20.83333333,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_pc_winogender,positive_contact,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_pc_winogender/winogender_metrics_overall_m3_finetune_pc_winogender.csv
DIY Two Pass (No IT),positive_contact,Positive contact,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,49.27,0.73,15.19,14.46,49.27,metric_score,target50,m6_self_debiasing,m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact,positive_contact,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__positive_contact/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact.csv
DIY Two Pass (No IT),positive_contact,Positive contact,stereoset,StereoSet,SS Score,SS Score overall,50,43.576,6.42396,8.29053,1.86657,45.202362,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact,positive_contact,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__positive_contact/stereoset/stereoset_metrics_m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact.csv
DIY Two Pass (No IT),positive_contact,Positive contact,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,3.898,3.898,7.39,3.492,0.024,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__positive_contact,positive_contact,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__positive_contact/bbq/bbq_metrics.csv
DIY Two Pass (No IT),positive_contact,Positive contact,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.024,0.024,3.047,3.023,0.024,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__positive_contact,positive_contact,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__positive_contact/bbq/bbq_metrics.csv
DIY Two Pass (No IT),positive_contact,Positive contact,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.155303,0.155303,0.276515,0.121212,0.15530303,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact,positive_contact,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__positive_contact/winobias/winobias/m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact/winobias_metrics_overall_m6_two_pass__base__positive_contact_self_debias_two_pass_positive_contact.csv
